list,part,item_id,condition,type,type_id,target_gender,gender_match,orig_item_number,case,animacy,R1,R2,R3,R4,R5,R6,text,question,response_true,response_distractors
1,pred_adjectives,38,d,stim_pred_adj,3,M,Mis,0,0,inanim,У бабушки,готова,завтрак,на всю,нашу,семью,У бабушки готова завтрак на всю нашу семью.,,,
1,pred_adjectives,42,d,stim_pred_adj,3,M,Mis,0,0,inanim,Дома всегда,полезна,аппарат,для заготовки,фруктов и,овощей,Дома всегда полезна аппарат для заготовки фруктов и овощей.,,,
1,pred_adjectives,43,a,stim_pred_adj,3,M,Match,0,0,inanim,Мне очень,дорог,сувенир,с нашей,встречи,в Москве,Мне очень дорог сувенир с нашей встречи в Москве.,Состоялась ли наша встреча в России?,да,нет
1,pred_adjectives,44,b,stim_pred_adj,3,F,Mis,0,0,inanim,Тебе пока,велик,блузка,из маминого,зимнего,гардероба,Тебе пока велик блузка из маминого зимнего гардероба.,,,
1,pred_adjectives,46,d,stim_pred_adj,3,M,Mis,0,0,inanim,В музее,привлекательна,уголок,научных,экспериментов,для детей,В музее привлекательна уголок научных экспериментов для детей.,,,
1,pred_adjectives,47,a,stim_pred_adj,3,M,Match,0,0,inanim,В  парке,маловат,газон,с незабудками,и статуями,из мха,В  парке маловат газон с незабудками и статуями из мха.,Есть ли в парке незабудки?,да,нет
1,pred_adjectives,48,b,stim_pred_adj,3,F,Mis,0,0,inanim,Для первоклашек,бесполезен,задача,о процентах,или десятичных,дробях,Для первоклашек бесполезен задача о процентах или десятичных дробях.,Знают ли первоклашки дроби?,нет,да
1,pred_adjectives,50,d,stim_pred_adj,3,M,Mis,0,0,inanim,Совершенно,недопустима,разговор,о политике ,или деньгах,на работе,Совершенно недопустима разговор о политике  или деньгах на работе.,Можно ли говорить о политике на работе?,нет,да
1,filler,52,0,filler_gram,5,Masc,0,101Y,Prep,0,Ребёнок,по ночам,в кроватке,всегда,плохо,спит,Ребёнок по ночам в кроватке всегда плохо спит.,Ребёнок хорошо спит в кроватке?,Нет,Да
1,filler,54,0,filler_gram,5,Masc,0,102Y,Acc,0,Старик,приходит,в квартиру,редко,и всегда,неохотно,Старик приходит в квартиру редко и всегда неохотно.,Старик часто приходит в квартиру?,Да,Нет
1,filler,55,0,filler_ungram,4,Masc,0,103N,Acc,0,Мальчик,разговаривает,в школу,громко,и не,заикается,Мальчик разговаривает в школу громко и не заикается.,,,
1,filler,57,0,filler_ungram,4,Masc,0,104N,Instr,0,Лётчик,летает,в Россией,регулярно,на разных,самолетах,Лётчик летает в Россией регулярно на разных самолетах.,,,
1,filler,95,0,filler_ungram,4,Fem,0,123N,Acc,0,Женщина,выглядит,в журнал,сильно,моложе,своих лет,Женщина выглядит в журнал сильно моложе своих лет.,,,
1,filler,97,0,filler_ungram,4,Fem,0,124N,Acc,0,Рыба,плавает,в аквариум,неторопливо,среди,водорослей,Рыба плавает в аквариум неторопливо среди водорослей.,Рыба быстро плавает?,Нет,Да
1,filler,100,0,filler_gram,5,Fem,0,125Y,Prep,0,Официантка,работает,в ресторане,усерднее,всех ,остальных,Официантка работает в ресторане усерднее всех  остальных.,Усердно ли работает официантка?,Да,нет
1,filler,102,0,filler_gram,5,Fem,0,126Y,Acc,0,Медсестра,уходит,в больницу,на дежурство,после,обеда,Медсестра уходит в больницу на дежурство после обеда.,,,
1,filler,124,0,filler_gram,5,Neut,0,137Y,Prep,0,Привидение,живёт,в шкафу,давно,и никого,не беспокоит,Привидение живёт в шкафу давно и никого не беспокоит.,Привидение живет в сундуке?,Нет,Да
1,filler,126,0,filler_gram,5,Neut,0,138Y,Prep,0,Чучело,висит,в огороде,высоко,и распугивает,ворон,Чучело висит в огороде высоко и распугивает ворон.,Боятся ли вороны огородного чучела?,да,нет
1,filler,127,0,filler_ungram,4,Neut,0,139N,Acc,0,Шимпанзе,замерзает,на улицу,мгновенно,и ,непоправимо,Шимпанзе замерзает на улицу мгновенно и  непоправимо.,,,
1,filler,129,0,filler_ungram,4,Neut,0,140N,Instr,0,Животное,залезает,на лестницей,медленно,и с громким,воем,Животное залезает на лестницей медленно и с громким воем.,Животное ведёт себя тихо?,Нет,Да
