list_id,part,item_id,condition,type,type_id,target_gender,gender_match,orig_item_number,case,animacy,R1,R2,R3,R4,R5,R6,text,question,response_true,response_distractors
3,pred_adjectives,44,d,stim_pred_adj,3,M,Mis,0,0,inanim,Тебе пока,велика,костюм ,из маминого,зимнего,гардероба,Тебе пока велика костюм  из маминого зимнего гардероба,,,
3,pred_adjectives,46,b,stim_pred_adj,3,F,Mis,0,0,inanim,В музее,привлекателен,комната,научных,экспериментов,для детей,В музее привлекателен комната научных экспериментов для детей,,,
3,pred_adjectives,47,c,stim_pred_adj,3,F,Match,0,0,inanim,В  парке,маловата,клумба,с незабудками,и статуями,из мха,В  парке маловата клумба с незабудками и статуями из мха,Есть ли в парке незабудки?,да,нет
3,pred_adjectives,48,d,stim_pred_adj,3,M,Mis,0,0,inanim,Для первоклашек,бесполезна,вопрос,о процентах,или десятичных,дробях,Для первоклашек бесполезна вопрос о процентах или десятичных дробях,Знают ли первоклашки дроби?,нет,да
3,pred_adjectives,50,b,stim_pred_adj,3,F,Mis,0,0,inanim,Совершенно,недопустим,беседа,о политике ,или деньгах,на работе,Совершенно недопустим беседа о политике  или деньгах на работе,Можно ли говорить о политике на работе?,нет,да
3,filler,60,0,filler_gram,5,Masc,0,105Y,Prep,0,Ученик,работает,в лаборатории,часто,и всегда,с удовольствием,Ученик работает в лаборатории часто и всегда с удовольствием,Нравится ли ученику работа?,Да,Нет
3,filler,62,0,filler_gram,5,Masc,0,106Y,Acc,0,Художник,едет,в командировку,неохотно,и быстро,возвращается,Художник едет в командировку неохотно и быстро возвращается,Много ли времени художник проводит в командировке?,Нет,Да
3,filler,63,0,filler_ungram,4,Masc,0,107N,Acc,0,Студент,играет,на площадку,на скрипке,тихо ,и неумело,Студент играет на площадку на скрипке тихо  и неумело,,,
3,filler,65,0,filler_ungram,4,Masc,0,108N,Instr,0,Директор,уходит,на работой,рано,и остается,допоздна,Директор уходит на работой рано и остается допоздна,,,
3,filler,87,0,filler_ungram,4,Fem,0,119N,Acc,0,Девушка,курит,в офис,открыто,вопреки,правилам,Девушка курит в офис открыто вопреки правилам,,,
3,filler,89,0,filler_ungram,4,Fem,0,120N,Instr,0,Студентка,выбегает,в коридором,быстро,и сразу ,прячется,Студентка выбегает в коридором быстро и сразу  прячется,Студентка двигается медленно?,Нет,Да
3,filler,92,0,filler_gram,5,Fem,0,121Y,Prep,0,Девочка,отдыхает,на диване,спокойно,и никого,не зовет,Девочка отдыхает на диване спокойно и никого не зовет,Взволнована ли девочка?,нет,да
3,filler,94,0,filler_gram,5,Fem,0,122Y,Acc,0,Учительница,спешит,в кабинет,по срочному,вызову,директора,Учительница спешит в кабинет по срочному вызову директора,,,
3,filler,132,0,filler_gram,5,Neut,0,141Y,Prep,0,Чудовище,живёт,в воде,незаметно,для,людей,Чудовище живёт в воде незаметно для людей,,,
3,filler,134,0,filler_gram,5,Neut,0,142Y,Prep,0,Привидение,светится,в темноте,страшно,и всех,пугает,Привидение светится в темноте страшно и всех пугает,Привидение страшное?,Да,нет
3,filler,135,0,filler_ungram,4,Neut,0,143N,Instr,0,Чудовище,кричит,на крышей,и страшно,рычит,от испуга,Чудовище кричит на крышей и страшно рычит от испуга,Чудовище напугано?,Да,Нет
3,filler,137,0,filler_ungram,4,Neut,0,144N,Instr,0,Государство,тратит,на школой,достаточно,средств ,из бюджета,Государство тратит на школой достаточно средств  из бюджета,Государство тратит много средств на школу?,Да,Нет
