list	part	item_id	condition	type	type_id	target_gender	gender_match	orig_item_number	case	animacy	R1	R2	R3	R4	R5	R6	text	question	response_true	response_distractors
3	pred_adjectives	44	d	stim_pred_adj	3	M	Mis	0	0	inanim	Тебе пока	велика	костюм 	из маминого	зимнего	гардероба	Тебе пока велика костюм  из маминого зимнего гардероба.			
3	pred_adjectives	46	b	stim_pred_adj	3	F	Mis	0	0	inanim	В музее	привлекателен	комната	научных	экспериментов	для детей	В музее привлекателен комната научных экспериментов для детей.			
3	pred_adjectives	47	c	stim_pred_adj	3	F	Match	0	0	inanim	В  парке	маловата	клумба	с незабудками	и статуями	из мха	В  парке маловата клумба с незабудками и статуями из мха.	Есть ли в парке незабудки?	да	нет
3	pred_adjectives	48	d	stim_pred_adj	3	M	Mis	0	0	inanim	Для первоклашек	бесполезна	вопрос	о процентах	или десятичных	дробях	Для первоклашек бесполезна вопрос о процентах или десятичных дробях.	Знают ли первоклашки дроби?	нет	да
3	pred_adjectives	50	b	stim_pred_adj	3	F	Mis	0	0	inanim	Совершенно	недопустим	беседа	о политике 	или деньгах	на работе	Совершенно недопустим беседа о политике  или деньгах на работе.	Можно ли говорить о политике на работе?	нет	да
3	filler	51	0	filler_ungram	4	Masc	0	101N	Acc	0	Ребёнок	по ночам	в кроватку	всегда	плохо	спит	Ребёнок по ночам в кроватку всегда плохо спит.			
3	filler	52	0	filler_gram	5	Masc	0	101Y	Prep	0	Ребёнок	по ночам	в кроватке	всегда	плохо	спит	Ребёнок по ночам в кроватке всегда плохо спит.	Ребёнок хорошо спит в кроватке?	Нет	Да
3	filler	53	0	filler_ungram	4	Masc	0	102N	Instr	0	Старик	приходит	в квартирой	редко	и всегда	неохотно	Старик приходит в квартирой редко и всегда неохотно.			
3	filler	54	0	filler_gram	5	Masc	0	102Y	Acc	0	Старик	приходит	в квартиру	редко	и всегда	неохотно	Старик приходит в квартиру редко и всегда неохотно.	Старик часто приходит в квартиру?	Да	Нет
3	filler	55	0	filler_ungram	4	Masc	0	103N	Acc	0	Мальчик	разговаривает	в школу	громко	и не	заикается	Мальчик разговаривает в школу громко и не заикается.			
3	filler	56	0	filler_gram	5	Masc	0	103Y	Prep	0	Мальчик	разговаривает	в  школе	громко	и не	заикается	Мальчик разговаривает в  школе громко и не заикается.	Мальчик разговаривает тихо?	Нет	Да
3	filler	57	0	filler_ungram	4	Masc	0	104N	Instr	0	Лётчик	летает	в Россией	регулярно	на разных	самолетах	Лётчик летает в Россией регулярно на разных самолетах.			
3	filler	58	0	filler_gram	5	Masc	0	104Y	Acc	0	Лётчик	летает	в Россию	регулярно	на разных	самолетах	Лётчик летает в Россию регулярно на разных самолетах.	Лётчик редко летает в Россию?	Нет	Да
3	filler	59	0	filler_ungram	4	Masc	0	105N	Acc	0	Ученик	работает	в лабораторию	часто	и всегда	с удовольствием	Ученик работает в лабораторию часто и всегда с удовольствием.			
3	filler	60	0	filler_gram	5	Masc	0	105Y	Prep	0	Ученик	работает	в лаборатории	часто	и всегда	с удовольствием	Ученик работает в лаборатории часто и всегда с удовольствием.	Нравится ли ученику работа?	Да	Нет
3	filler	61	0	filler_ungram	4	Masc	0	106N	Instr	0	Художник	едет	в командировкой	неохотно	и быстро	возвращается	Художник едет в командировкой неохотно и быстро возвращается.			
3	filler	62	0	filler_gram	5	Masc	0	106Y	Acc	0	Художник	едет	в командировку	неохотно	и быстро	возвращается	Художник едет в командировку неохотно и быстро возвращается.	Много ли времени художник проводит в командировке?	Нет	Да
3	filler	63	0	filler_ungram	4	Masc	0	107N	Acc	0	Студент	играет	на площадку	на скрипке	тихо 	и неумело	Студент играет на площадку на скрипке тихо  и неумело.			
3	filler	64	0	filler_gram	5	Masc	0	107Y	Prep	0	Студент	играет	на площадке	на скрипке	тихо 	и неумело	Студент играет на площадке на скрипке тихо  и неумело.	Студент хорошо играет на скрипке?	Нет	Да
3	filler	65	0	filler_ungram	4	Masc	0	108N	Instr	0	Директор	уходит	на работой	рано	и остается	допоздна	Директор уходит на работой рано и остается допоздна.			
3	filler	66	0	filler_gram	5	Masc	0	108Y	Acc	0	Директор	уходит	на работу	рано	и остается	допоздна	Директор уходит на работу рано и остается допоздна.	Директор находится на работе допоздна?	Да	Нет
3	filler	87	0	filler_ungram	4	Fem	0	119N	Acc	0	Девушка	курит	в офис	открыто	вопреки	правилам	Девушка курит в офис открыто вопреки правилам.			
3	filler	88	0	filler_gram	5	Fem	0	119Y	Prep	0	Девушка	курит	в офисе	открыто	вопреки	правилам	Девушка курит в офисе открыто вопреки правилам.	Курит ли девушка в офисе?	да	нет
3	filler	89	0	filler_ungram	4	Fem	0	120N	Instr	0	Студентка	выбегает	в коридором	быстро	и сразу 	прячется	Студентка выбегает в коридором быстро и сразу  прячется.	Студентка двигается медленно?	Нет	Да
3	filler	90	0	filler_gram	5	Fem	0	120Y	Acc	0	Студентка	выбегает	в коридор	быстро	и сразу 	прячется	Студентка выбегает в коридор быстро и сразу  прячется.			
3	filler	91	0	filler_ungram	4	Fem	0	121N	Acc	0	Девочка	отдыхает	на диван	спокойно	и никого	не зовет	Девочка отдыхает на диван спокойно и никого не зовет.			
3	filler	92	0	filler_gram	5	Fem	0	121Y	Prep	0	Девочка	отдыхает	на диване	спокойно	и никого	не зовет	Девочка отдыхает на диване спокойно и никого не зовет.	Взволнована ли девочка?	нет	да
3	filler	93	0	filler_ungram	4	Fem	0	122N	Instr	0	Учительница	спешит	в кабинетом	по срочному	вызову	директора	Учительница спешит в кабинетом по срочному вызову директора.	Учительницу вызвал директор?	Да	Нет
3	filler	94	0	filler_gram	5	Fem	0	122Y	Acc	0	Учительница	спешит	в кабинет	по срочному	вызову	директора	Учительница спешит в кабинет по срочному вызову директора.			
3	filler	95	0	filler_ungram	4	Fem	0	123N	Acc	0	Женщина	выглядит	в журнал	сильно	моложе	своих лет	Женщина выглядит в журнал сильно моложе своих лет.			
3	filler	96	0	filler_gram	5	Fem	0	123Y	Prep	0	Женщина	выглядит	в  журнале	сильно	моложе	своих лет	Женщина выглядит в  журнале сильно моложе своих лет.	Хорошо ли выглядит женщина в журнале?	Да	Нет
3	filler	97	0	filler_ungram	4	Fem	0	124N	Acc	0	Рыба	плавает	в аквариум	неторопливо	среди	водорослей	Рыба плавает в аквариум неторопливо среди водорослей.	Рыба быстро плавает?	Нет	Да
3	filler	98	0	filler_gram	5	Fem	0	124Y	Prep	0	Рыба	плавает	в аквариуме	неторопливо	среди	водорослей	Рыба плавает в аквариуме неторопливо среди водорослей.			
3	filler	99	0	filler_ungram	4	Fem	0	125N	Acc	0	Официантка	работает	в ресторан	усерднее	всех 	остальных	Официантка работает в ресторан усерднее всех  остальных.			
3	filler	100	0	filler_gram	5	Fem	0	125Y	Prep	0	Официантка	работает	в ресторане	усерднее	всех 	остальных	Официантка работает в ресторане усерднее всех  остальных.	Усердно ли работает официантка?	Да	нет
3	filler	101	0	filler_ungram	4	Fem	0	126N	Instr	0	Медсестра	уходит	в госпиталем	на дежурство	после	обеда	Медсестра уходит в госпиталем на дежурство после обеда.	Медсестра уходит после ужина?	Нет	Да
3	filler	102	0	filler_gram	5	Fem	0	126Y	Acc	0	Медсестра	уходит	в больницу	на дежурство	после	обеда	Медсестра уходит в больницу на дежурство после обеда.			
3	filler	123	0	filler_ungram	4	Neut	0	137N	Acc	0	Привидение	живёт	в шкаф	давно	и никого	не беспокоит	Привидение живёт в шкаф давно и никого не беспокоит.			
3	filler	124	0	filler_gram	5	Neut	0	137Y	Prep	0	Привидение	живёт	в шкафу	давно	и никого	не беспокоит	Привидение живёт в шкафу давно и никого не беспокоит.	Привидение живет в сундуке?	Нет	Да
3	filler	125	0	filler_ungram	4	Neut	0	138N	Acc	0	Чучело	висит	в огород	высоко	и распугивает	ворон	Чучело висит в огород высоко и распугивает ворон.			
3	filler	126	0	filler_gram	5	Neut	0	138Y	Prep	0	Чучело	висит	в огороде	высоко	и распугивает	ворон	Чучело висит в огороде высоко и распугивает ворон.	Боятся ли вороны огородного чучела?	да	нет
3	filler	127	0	filler_ungram	4	Neut	0	139N	Acc	0	Шимпанзе	замерзает	на улицу	мгновенно	и 	непоправимо	Шимпанзе замерзает на улицу мгновенно и  непоправимо.			
3	filler	128	0	filler_gram	5	Neut	0	139Y	Prep	0	Шимпанзе	замерзает	на улице	мгновенно	и 	непоправимо	Шимпанзе замерзает на улице мгновенно и  непоправимо.	Тепло ли обезьяне на улице?	Нет	Да
3	filler	129	0	filler_ungram	4	Neut	0	140N	Instr	0	Животное	залезает	на лестницей	медленно	и с громким	воем	Животное залезает на лестницей медленно и с громким воем.	Животное ведёт себя тихо?	Нет	Да
3	filler	130	0	filler_gram	5	Neut	0	140Y	Acc	0	Животное	залезает	на лестницу	медленно	с громким	воем	Животное залезает на лестницу медленно с громким воем.			
3	filler	131	0	filler_ungram	4	Neut	0	141N	Acc	0	Чудовище	живёт	в воду	незаметно	для	людей	Чудовище живёт в воду незаметно для людей.	Люди замечают чудовище?	Нет	Да
3	filler	132	0	filler_gram	5	Neut	0	141Y	Prep	0	Чудовище	живёт	в воде	незаметно	для	людей	Чудовище живёт в воде незаметно для людей.			
3	filler	133	0	filler_ungram	4	Neut	0	142N	Acc	0	Привидение	светится	в темноту	страшно	и всех	пугает	Привидение светится в темноту страшно и всех пугает.			
3	filler	134	0	filler_gram	5	Neut	0	142Y	Prep	0	Привидение	светится	в темноте	страшно	и всех	пугает	Привидение светится в темноте страшно и всех пугает.	Привидение страшное?	Да	нет
3	filler	135	0	filler_ungram	4	Neut	0	143N	Instr	0	Чудовище	кричит	на крышей	и страшно	рычит	от испуга	Чудовище кричит на крышей и страшно рычит от испуга.	Чудовище напугано?	Да	Нет
3	filler	136	0	filler_gram	5	Neut	0	143Y	Prep	0	Чудовище	кричит	на  крыше	и страшно	рычит	от испуга	Чудовище кричит на  крыше и страшно рычит от испуга.			
3	filler	137	0	filler_ungram	4	Neut	0	144N	Instr	0	Государство	тратит	на школой	достаточно	средств 	из бюджета	Государство тратит на школой достаточно средств  из бюджета.	Государство тратит много средств на школу?	Да	Нет
3	filler	138	0	filler_gram	5	Neut	0	144Y	Acc	0	Государство	тратит	на школу	достаточно	средств 	из бюджета	Государство тратит на школу достаточно средств  из бюджета.			
